98,145,196
89,143,198
90,143,200
86,139,196
95,147,200
92,148,203
86,143,199
86,143,199
84,140,199
83,143,197
88,149,205
84,145,201
85,144,200
84,140,199
75,138,199
77,138,204
79,141,205
79,138,200
78,134,193
74,137,195
73,136,197
70,132,196
70,129,191
70,127,183
103,161,220
115,175,235
122,179,240
115,170,227
99,146,200
101,164,224
110,175,236
114,179,240
111,171,231
93,148,205
95,156,212
95,158,218
97,160,221
97,157,217
89,143,203
96,152,201
89,149,203
90,149,205
89,144,201
87,135,193
89,139,185
82,138,187
88,143,194
87,139,192
84,130,184
55,162,230
48,153,226
39,141,216
34,134,212
47,142,221
53,163,229
44,150,221
34,139,212
41,142,217
47,148,223
42,147,210
38,139,207
35,136,205
46,144,216
53,150,224
34,132,192
36,128,193
39,130,199
52,140,211
54,146,219
40,133,188
34,122,182
38,125,189
47,130,198
47,134,201
118,177,239
111,169,234
111,164,227
112,160,218
116,159,210
116,193,250
100,173,233
100,167,224
96,153,208
96,147,197
94,177,229
88,168,223
88,158,211
81,142,192
80,135,180
96,165,234
101,178,247
97,178,245
98,178,243
80,153,211
82,164,211
79,161,209
74,149,195
62,129,174
63,122,162
96,174,241
94,179,249
84,173,240
86,172,238
75,148,210
83,156,194
72,149,188
67,136,179
55,119,160
56,113,152
93,169,245
92,171,250
74,156,234
61,136,214
50,120,190
90,166,232
88,171,239
79,164,232
76,158,223
68,141,201
82,172,249
75,169,252
59,155,238
54,145,226
47,130,205
81,157,216
78,158,221
71,153,218
63,142,205
55,128,186
63,161,237
52,155,234
44,149,230
47,146,226
45,132,206
75,151,204
66,147,204
56,138,196
47,125,184
37,104,165
95,169,235
97,178,246
98,178,249
93,164,232
90,152,216
51,150,224
41,145,222
37,139,214
40,135,209
38,123,191
77,163,239
77,172,251
77,172,252
76,161,239
79,155,227
45,143,213
37,139,212
28,130,203
28,120,193
43,121,188
64,159,232
59,163,240
61,162,241
57,149,226
67,146,219
59,150,219
51,150,224
51,147,223
48,137,211
53,130,199
63,146,208
59,146,212
56,143,210
55,134,201
55,124,187
109,184,255
110,185,255
103,182,255
94,169,247
87,158,232
90,157,226
79,143,207
73,134,190
62,119,170
98,179,254
97,179,255
92,171,250
79,156,235
69,144,218
69,141,211
71,138,207
67,128,194
54,112,171
88,167,240
80,162,240
76,158,236
73,152,233
62,141,220
60,135,213
59,130,204
54,121,190
48,106,171
84,160,232
